,Reviews,Remarks
65,अगर श्रीसंत अपना towel बाहर छोड़ गए हैं तो उसे रवि शास्त्री के मुंह में ठूंस देना चाहिए।,negative
66,#Meherbaan ऐसे उबाऊ सोंग ना बनाकर हमपर मेहरबानी करे।धन्यवाद #BangBang,negative
67,तुम गुरु हो कि गुरु घंटाल =D,negative
68,J&K: भूस्खलन में 7 की मौत 20 लापता: जम्मू-कश्मीर के उधमपुर जिले के एक सुदूर पर्वतीय गांव में भारी बारिश के बा,negative
69,J&K: भूस्खलन में 7 की मौत 20 लापता: जम्मू-कश्मीर के उधमपुर जिले के एक सुदूर पर्वतीय गांव में भारी बारिश के बा,negative
70,मुद्दतें हो गई हैं चुप रहते कोई सुनता तो हम भी कुछ कहत,negative
71,हमें LOC जा कर अपना लिंग निकालकर मुत देना चाहिए पाक पर वरना वो दिन दूर नहीं जब गधे के लिंग से ये पाकिस्तानी हमारे माथे पर चोदु लिख देंगे,negative
72,तेरी तलाश में निकलू भी तो क्या फायदा?तुम बदल गए हो खो गए होते तो और बात थी,negative
73,यह बारिश का पानी नही यह काश्मीरी पंडितों के आँखों की आसूं है,negative
74,दिल्लीका थूकमास्टर और यूरिन स्पेशलिस्ट पॉर्ननाथ अब अपना सिर मुंडवायेगा साला नौटंकीमें एकदुसरेके बाप है ये आपीए,negative
75,उनको तो बस बम बरसाना आता है। इससे नहीं कर पायेंगे खात्मा। उल्टे निरिह मरेंगे और ISIS में शामिल होंगे। जमीनी लड़ाई की जरूरत।,negative
76,मधेशी दलों की निष्क्रियता और मधेशी नेताओं की उदासीनता से मधेशी जनता में निराशा का माहौल है। चुनाव में मिली करारी,negative
77,मन तो करता है कि डंडे लेकर हर एक पाकिस्तानी को दम भर पीटू लेकिन ऐसा डंडा मिलता ही नहीं है,negative
78,महिलाओं का फ़लसफ़ा : मैं ना बोल रही हूँ लेकिन इसका मतलब हां भी हो सकता है ना भी और तुम जो भी मतलब निकालो उसे मैं गलत ही कहूंगी 😜😜,negative
79,हम सोने की चिडीया कह रही जनता को मिट्टी की कहेंगे तो विरोध के लिए चप्पल पडेंगी पर अगर नरेन्द्र भाई प्लेटीनम की कहेंगे तो मसीहा #Truth,negative
80,सौंप बैठा वक्त उनको काम नव-निर्माण का आज अपनी ही दरारों से जिन्हें फुर्सत नहीं,negative
81,सौ गुना बढ़ जाती है खूबसूरती महज़ मुस्कराने सेफिर भी बाज नही आते लोग बुरा सा मुँह बनाने स,negative
82,जिन्दगी में एक मार्मिक समय फिर आया हैं। हमने अनूप वाकडे (Anoop Wakade) भाई को खो दिया हैं। पिछले दिनों सी0 एल0,negative
83,जब हुई थी मोहब्बत तो लगा किसी अच्छे काम का असर है ❤😊नहीं थी खबर कि गुनाहों की ऐसी भी सजा होती है 💔😭,negative
84,इराक़ी और अमरीकी सूत्रों ने उत्तरी इराक़ मेंअमरीका के हवाई हमलों में आईएस के सरग़ना बगदादी के मारेजाने की सूचना दी है?,negative
85,अरमान था तेरे साथ जिंदगी बिताने का शिकवा है खुद के खामोश रह जाने का दीवानगी इस से बढकर और क्या होगी आज भी इंतजार है तेरे आने का.,negative
86,अभी आए अभी बैठे अभी दामन संभाला है~तुम्हारी जाऊं जाऊं ने हमारा दम निकाला है,negative
87,क्या मैनपुरी के लोग धरती के सबसे बड़े मूर्ख हैं?क्या किसी जनपद के सारे के सारे लोग इतने ज़्यादा मूर्ख हो सकते,negative
88,वहां तीन नक्कारे मंत्री बन बैठे है नागनाथ अंधकार कांगीभयंकरप्रसाद,negative
89,मेरा दिल जलता नही सुलगता है ऐ-हयात जब तुम मुस्कुराकर किसी और से बात करते हो,negative
90,बिजली संकट पर केंद्र से भिड़ा महाराष्ट्र: बिजली को लेकर महाराष्ट्र और केंद्र सरकार के बीच घमासान जारी है। ऊर्जा,negative
91,ये सब किस्मत के चक्कर हैंबीए पास बेरोजगार हैंऔर बीए फेल मिनिस्टर हैं।।,negative
92,hahaa Lovlyy ' '' हार के जीतने वाले को बाज़ीगर कहते है और जीता हुआ मैच हराने वाले को धोनी कहते है '',negative
93,ये सब किस्मत के चक्कर हैंबीए पास बेरोजगार हैंऔर बीए फेल मिनिस्टर हैं।।,negative
94,आयेगें अभी और भी दौर मायूसी के अभी तो बस सीलन तुम्हारी हिचकियो तक आई है,negative
95,तो कब बनेंगा अपना। हम तो मानते है की जबतक ये चली आ रही सत्ताओ का बदलाव चलता रहेगा अपना शहर और घर कभी अपना नही लगेंगा,negative
96,मुसलमान ISIS जैसे आतंकी संगठन को भी बडे गर्व से ज्वाइन कर रहे है और यहा लोगो को RSS ज्वाइन करने मे भी शर्म आ रही है धिक्कार है,negative
97,और भी दुख हैं ज़माने में मोहब्बत के सिवा,negative
98,दिल्ली में सरकार बीजेपी की बनेगी किस्मत कांग्रेस और आप की खुलेगी। दोनों पार्टियां बीजेपी के फ्लाप होने की उम्मीद में बैठी हैं।,negative
99,न्यूज़ चैनलों पे कल तक धोनी को कैप्टन कूल और आज कैप्टन कलंक सुनकर U-turn लेने में इनका मुकाबला नहीं कर पाया। -केजरीवाल की फेयरवेल स्पीच,negative
100,ये जमाना एक भसड़ है और दुनिया गटर है ---हम सब गटर के कीड़े हैं ----रोज झूठ बोलते हैं ----रोज पाप करते हैं ---,negative
101,क्या गाँधी को महात्मा और बापू कहना राष्ट्र का अपमान नही???+++++++++गाँधी को जानिए एक बार एक वाल्मीकि,negative
102,बेवजह धर्म नहीं बना क्रिकेट। धर्म का एक बड़ा काम है वहमों को मान्यता दिलाना और इसी वजह से आजकल इस धर्म का गलत फायदा उठाने में लगे हैं कुछ,negative
103,मोदी जी का मंत्र सबका साथ सबका बिकास और एक हजार करोड रूपये के साथअब तो सुधर जाओ अबदुल्ला सी.एम होकर पाकिस्तान में मिलने की बात करते हो छीछी,negative
104,हा फिर वहा थोड़ी इनकी मरम्मत मुशरफ और नवाज शरीफ के गुंडे करेंगे न तब ये भक्तिगिरी छोड़ेंगे,negative
105,रोज ढलता हुआ सूरज कहता है मुझसे आज उसको बेवफा हुए एक दिन और बीत गया - Vishal Tripathi,negative
106,NCP के पूर्व नेता और मंत्री विजय कुमार गावित पर भ्रष्टाचार का आरोप लगा और कहा गया की गावित ने फर्जी लोगो के नाम,negative
107,कुछ लोग बड़े होने के वहम में मर गये और जो लोग बड़े थे वो अहम में मर गये,negative
108,आतंकवाद से लड़ने की बात करते रहे उठते बैठते सोते जागते और आतंकवादी इनके घर में आकर राज करने लगे कब पता ही नहीं चला,negative
109,क्यों यासीन गिलानी और बंदे हैँ हम उसके कैटेगरी वाले कश्मीरियों को नहीँ बचा रहे बिचारों को अत्याचारी भारतीय सेना की मदद लेनी पड़ रही है,negative
110,मित्रोंदुनिया के सबसे बड़े लोकतांत्रिक देश भारत में संविधान रक्षक द्वारा संविधान की धज्जियां उड़ाना घातक और चिंताजनक है#FraudBySecretBallot,negative
111,कुछ लोग अपनी रियल लाइफ की प्रॉब्लम सुनाने के लिए फेसबुक और ट्विटर use करते है ऐसे लोगो के ही पिछवाड़े पे लात पड़ती है,negative
112,जो हमारा प्यार है उन्हे किसी और से प्यार है बस हार गये हम यह जानकार की जिससे उन्हे प्यार है वो हमारा यार है …,negative
113,हींग से न तेल से बन्दूक से न तलवार से - #ISIS खत्म होगा रासयनिक और जैविक गैस और सूंघ से,negative
114,इस्लाम में शांति और भाईचारा हराम है इसलिये मुसलमानों से शांति की उम्मीद रखना मुर्खता है,negative
115,फाटक जी के Coat और Quote के चोट से बचना मुश्किल नहीं नामुमकिन है यदि आप को अनफाँलो नहीं कर देते ।,negative
116,<< चल भाग चूतिया ये मेरा देश है यहाँ किसी मिशनरी और वहाबी के लिए कोई जगह नही है चा मुदा,negative
117,शक तो था मोहब्बत मे नुक्सान जरूर होगा पर मालूम ना था सिर्फ और सिर्फ मेरा होगा - Vishal Tripathi,negative
118,~चप्पड़गंजू नसीहत दे रहा है की गुरु का सम्मान करें।और खुद के TL par Har Har,negative
119,सलमान खान Big Boss 8 में हवाई जहाज चलाएंगे. इस खबर से फुटपाथ वालों मेंखुशी का माहौल है और बुर्ज खलीफा वाले डर के साये में है।,negative
120,कहा से कहा ले गई और मेरी मौत बन गई,negative
121,आज क॓ समय म॓ॱ सचचाई और ईमानदारी की ब॓कदरी,negative
122,एक अजीब सी जंग छिड़ी है इस रात के आलम में आँखें कहती है सोने दे और दिल कहता है रोने दे,negative
123,अब पता चला #WhyMediaIsSoAntiHindu क्योंकि वह 5-M (मार्क्स मुल्ला मिशनरी मैकाले और मार्केट) के हाथों बिका हुआ है,negative
124,झूठ और धोख॓बाजोॱ का बोलबाला घोर कलयुग,negative
125,कभी हार का कारण अनुष्का तो कभी साझीऔर बनाओ मरदानी,negative
126,इसलिए में ये मसाला फिल्मो के खिलाफ हूँ और दिखाओ धोनी को ऐसी फिल्मे। लग गए हेरोगिरी में,negative
127,बिचली जातियों के नव- सामंतों की दलित-घृणा और फासीवादी रुझान भभक कर सामने आ रहा है .समाजवाद के नाम पर,negative
128,अरविन्द केजरीवाल जैसा प्राणी कल की सियासत में कभी नहीं था और आने वाले कल की सियासत में भी नहीं होगा।,negative
129,भारतीय संसद बुधवार को फिर शर्मसार हुई। राज्यसभा की कार्यवाही के दौरान बसपा और सपा के सदस्य आपस में भिड़ गए।,negative
130,कश्मीर के नाम पर जिहाद करने वालो अब कहा हो तुम लोग कश्मीर आओ और अपने भाइयो की मदद करो इस बुरे वक़्त मे अब फट गयी क्या तुम लोगो की,negative
131,उसकी याद में रो रो कर हमने टब भर दिए।उसकी याद में रो रो कर हमने टब भर दिए।और वो कम्बख़त उसी में नहा कर चल दिए। #notmine,negative
132,लगता है #Dhoni जी #Modi जी के विचारो को फॉलो करते है में ना रन ना लेता हु और ना ही लेने देता हु। #IndvsEng,negative
133,पहले तुम्हारे शब्दों में साहस आशा और निष्ठा के भाव थे अब चिन्ता भय और क्लेश जाग गया है यानि तु गया,negative
134,हार जाउँगा मुकदमा उस अदालत में ये मुझे यकीन था जहाँ वक्त बन बैठा जज और नसीब मेरा वकील था…,negative
135,#WhyMediaIsSoAntiHindu भारत का मीडिया बिकाऊ देशद्रोही भ्रष्ट और हिन्दू विरोधी है | यह बात अब गूगल भी जानती है,negative
136,कुछ लोगों को अपने कम और दुसरो का सामान कुछ ज्यादा ही पसंद आ जाता है और वो मौका पते ही उसे अपना बना भी लेते है।#इसी को तो लालच कहतें हैं।,negative
137,जो कुछ् ले कर लौटते है वो काम् को और frustation को वहि छोड आते है जो खालि हाथ आते हैअ वो आफ़िस की परेशानी भी घर ले आते है,negative
138,आखिर एक सोची समझी साजिश के तहत ही तो आजम खान और जावेद उस्मानी जैसे घॉर हिन्दू विरोधियो को हिन्दुओ के महाकुम्भ का इंचार्ज बनाया गया था.,negative
139,धोनी वही लौंडा है जो कोई भी लड़ाई होती है तो कह देता है मैं हूँ ना और फिर सब को पिटवा देता है। Lolz,negative
140,अपनी भी कहानी गजब हैं सेकुलर लोग साम्प्रदायिक बोलते हैं और कट्टर मुझे सेकुलर बोलते हैं दोनों तरफ से गाली खानी पड़ती हैं,negative
141,केजरीवाल वो लौंडा है जो KBC में जा कर पहला ही सवाल का गलत जवाब देगा और उसे कुर्सी से उतरने को कहने पर BigB के खिलाफ ही धरने पे बैठ जाएगा,negative
142,मुहम्मद जलालुदीन अकबर हर हिन्दू राज्यजीतनेपर वहा की लडकियों का अपहरण करमीना बाजारऔर अपने हरम में पंहुचा देता था।.,negative
143,) औरंगजेब ने इस्लाम कबूल ना करने परउन्ह गर्मपानी में उबाल कर जिन्दा चमड़ी उतरवानेका फरमान जारी किया।,negative
144,जड़ बुद्धी बदमाश डकैत हो जाते हैं और देश लूटते हैं।। पढ़े लिखे बदमाश IAS आॅफिसर बन के चोंपा लगाते हैं।,negative
145,ISIS मासूमो को मार रहा हैसेना जम्मू कश्मीर में मासूमो को बचा रही हैऔर बहुत से भारतीय मुस्लिम ISIS का समर्थन कर रहे है #KashmirFloods,negative
146,सबसे आसान काम है दोष ढूँढना और सबसे मुश्किल काम है करना इसलिए लोग आसान काम करते हैं,negative
147,इतिहास के खोये पन्नेऐसा था ऐतिहासिक इस्लाम क्या आप जानतेहैंविश्व में भारत ऐसा देश है जिसने सबसेज्यादा जुल्म औरहमले सहे हैं -,negative
148,जब हिंदू नाम का दहशत हर जगह होगा तब ना लव जिहाद होगा और ना ही कोई धर्मान्तरणइसलिए सिर्फ हिंदू नहीं कट्टर हिंदू बनो,negative
149,Breaking News रांची में आतंकी संगठन की धमकी- '30 दिन में गांव छोड़ें वरना मार देंगे और लड़कियों को मुसलमान बना,negative
150,आप ही ऐसी पार्टी है जिसने सबको भ्रष्ट और मीडिया को बिकाऊ कहा और बार बार कहा। अब रणनीति में क्या बदलाव किया गया है ?,negative
151,शांति और दोस्ती की बातों मे आते रहे तो हमेशा नुकसान उठाते रहेंगे.धोखे से वार करता है पाकिस्तान यकीन नहीं किया जा सकता है??,negative
152,रायुडु पे भरोसा करना तो बनता था और हम भी गली ही दे रहे है धोनी को,negative
153,बहादुरी भरे फैंसले और चुतियाप भरे फैंसले के बीच का फ़र्क जानते हो तो महेंद्र सिंह धोनी तो कतई नहीं हो आप।,negative
154,हार गई इंडिया 1बॉल में 5 रन कैसे बनते बताओ और वो भी उस स्थिति मे जब अंपायर की ड्रेस भी इंग्लैंड की टीम जैसी रेड एंड ब्लैक थी।,negative
155,देखते है अब किसी की जान जायेगी ;उसने मेरी और मैने उसकी कसम खाई है 😎,negative
156,चाहे घर वाले लड़कियोंको जलाये और मारे चाहे बहार वाले मरती तो लडकिया है पेहेले हम घर सुधार ले लडकिया बहार जाना ही ना चाहे,negative
157,पाकिस्तान ने आज ही के दिन श्रीकृष्ण के इस मंदिर पर फेंके थे 156 बम पश्चिम भारत के महत्वपूर्ण तीर्थस्थल और चार,negative
158,Dhoni ने क्रिकेट की मर्यादा के खिलाफ जाकर सिंगल्स नहीं लिए और रायडू को स्ट्राइक भी नहीं दी।और ये सिर्फ खुद हीरो बनने के चक्कर में।,negative
159,भैया लोगों को कोन समझाए तुमने अखिलेश को अकल एश समझ लिया खेर राहुल के आने से चुनावों पर असर तो हुआ कोंग्रेस अमेठी और रायबरेली में हार गयी,negative
160,हमारे देश की पत्रकारिता के क़लम मैं स्याही की जगह।। पैसा दारू और ऐयाशी है ।। अब बोलो क्या ये भजन गायेंगे,negative
161,क्या क्या हमारे ख्वाब थे जाने कहाँ खो गए तुम किसी और की हो गयी खुद करे हम भी किसी और के हो जाये _/\_ :),negative
162,ऐसी वाणी बोलिए जिसमे सब आपा खोएं खून पीने दौड़े पीछे और सब सेहतमंद होये -बाबा ज़हरीलादास,negative
163,'गुड़िया के दर्द' की दास्तां के बीच भी जबरन कमर्शियल ब्रेक कराकर हमारे चैनल डियोड्रेंट और अंडरविअर का विज्ञापन नहीं दिखाना नहीं भूल सकते,negative
164,BJP के नेतृत्व में AAP और लोकतंत्र के खिलाफ ये महा ठगबंधन है जिसमें LG राष्ट्रपति मिडिया कांग्रेस अंबानी शामिल हैं#FraudBySecretBallot,negative
165,न्यूज़; इंग्लैंड ने भारत को 3 रन और धोनी के चुतियापे से हराया।,negative
166,आज पवेलियन में धोनी बहुतगाली खायेगा और बाहर निकलने पेअनुष्का उसके बाल भी नोच सकती हैकी विराट की पारी का,negative
167,अगर यही खुलासा किसी भारतीय क्रिकेटर ने किया होता तो मीडिया और सिक्युलर उसे ही झूठा ठहरा चुके होते,negative
168,पाकिस्तान की जय जयकार करने वाले शिव भगतो औरभारतीय सेना पर पत्थर मारने वाले गद्दार कश्मीरी मुस्लमान,negative
169,वेद वैदिक जिसकी छवि एक पत्रकार और बुद्धिजीवी की रही है वह बुरी तरह से धूमिल होकर उसकी असलियत उजागर हो गई है कि वह कुछ भी नहीं।,negative
170,. Very nice msg Read twice जिंदगी में दो चीज़ें हमेशा टूटने के लिए ही होती हैं: सांस और साथ सांस टूटने से,negative
171,मैच भी हार गए और मैच में समय व्यर्थ करके गर्लफ्रेंड से बात नहीं की तो वो भी गुस्सा हो गयी। अब इसे कहते हैं डबल भसड। :|,negative
172,केजरीवाल वो लौंडा है जो KBC में जा कर पहला ही सवाल का गलत जवाब देगा और उसे कुर्सी से उतरने को कहने पर BigB के खिलाफ ही धरने पे बैठ जाएगा#HDL,negative
